date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:17:59	15491/15491	---MC-	200	added ('OK')	text/html	etag:%22747596e9d9b9b3a2053f49c8f3471335%22	http://www.wingvillage.org.uk/thevillage/villagemap?location=allsaints	www.wingvillage.org.uk/thevillage/villagemapb852.html	(from http://www.wingvillage.org.uk/)
12:18:00	16735/16735	---MC-	200	added ('OK')	text/html	etag:%229e7dcac1f38c15589fb71f4e0fb48588%22	http://www.wingvillage.org.uk/thevillage/amenitiesandfacilities/villagehall	www.wingvillage.org.uk/thevillage/amenitiesandfacilities/villagehall.html	(from http://www.wingvillage.org.uk/)
12:18:00	26842/26842	---M--	200	added ('OK')	image/jpeg	etag:%22bc82ba-68da-45fd90a49e700%22	http://www.wingvillage.org.uk/sites/default/files/allsaintschurch.thumb.jpg	www.wingvillage.org.uk/sites/default/files/allsaintschurch.thumb.jpg	(from http://www.wingvillage.org.uk/)
12:18:01	15491/15491	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:00%20GMT	http://www.wingvillage.org.uk/thevillage/villagemap?location=villagehall	www.wingvillage.org.uk/thevillage/villagemapd191.html	(from http://www.wingvillage.org.uk/)
12:18:01	13102/13102	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:00%20GMT	http://www.wingvillage.org.uk/thevillage/amenitiesandfacilities/villagelibrary	www.wingvillage.org.uk/thevillage/amenitiesandfacilities/villagelibrary.html	(from http://www.wingvillage.org.uk/)
12:18:02	15491/15491	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:01%20GMT	http://www.wingvillage.org.uk/thevillage/villagemap?location=library	www.wingvillage.org.uk/thevillage/villagemap01e2.html	(from http://www.wingvillage.org.uk/)
12:18:03	12156/12156	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:01%20GMT	http://www.wingvillage.org.uk/thevillage/amenitiesandfacilities/wingchapel	www.wingvillage.org.uk/thevillage/amenitiesandfacilities/wingchapel.html	(from http://www.wingvillage.org.uk/)
12:18:03	15491/15491	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:02%20GMT	http://www.wingvillage.org.uk/thevillage/villagemap?location=chapel	www.wingvillage.org.uk/thevillage/villagemape25d.html	(from http://www.wingvillage.org.uk/)
12:18:04	15491/15491	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:03%20GMT	http://www.wingvillage.org.uk/thevillage/villagemap?location=overstone	www.wingvillage.org.uk/thevillage/villagemap4f99.html	(from http://www.wingvillage.org.uk/)
12:18:04	15491/15491	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:03%20GMT	http://www.wingvillage.org.uk/thevillage/villagemap?location=cottesloe	www.wingvillage.org.uk/thevillage/villagemapc592.html	(from http://www.wingvillage.org.uk/)
12:18:05	15491/15491	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:04%20GMT	http://www.wingvillage.org.uk/thevillage/villagemap?location=rec	www.wingvillage.org.uk/thevillage/villagemap2529.html	(from http://www.wingvillage.org.uk/)
12:18:05	15491/15491	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:04%20GMT	http://www.wingvillage.org.uk/thevillage/villagemap?location=tennisclub	www.wingvillage.org.uk/thevillage/villagemap0746.html	(from http://www.wingvillage.org.uk/)
12:18:06	15491/15491	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:05%20GMT	http://www.wingvillage.org.uk/thevillage/villagemap?location=bowlsclub	www.wingvillage.org.uk/thevillage/villagemap5697.html	(from http://www.wingvillage.org.uk/)
12:18:06	15491/15491	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:05%20GMT	http://www.wingvillage.org.uk/thevillage/villagemap?location=sportsandsocial	www.wingvillage.org.uk/thevillage/villagemap236b.html	(from http://www.wingvillage.org.uk/)
12:18:07	15491/15491	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:06%20GMT	http://www.wingvillage.org.uk/thevillage/villagemap?location=jubileegreen	www.wingvillage.org.uk/thevillage/villagemapc852.html	(from http://www.wingvillage.org.uk/)
12:18:07	15491/15491	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:06%20GMT	http://www.wingvillage.org.uk/thevillage/villagemap?location=scouthut	www.wingvillage.org.uk/thevillage/villagemap486c.html	(from http://www.wingvillage.org.uk/)
12:18:11	23542/23542	---M--	200	added ('OK')	image/jpeg	etag:%22bc82a9-5bf6-45fecab051440%22	http://www.wingvillage.org.uk/sites/default/files/jubileegreen.thumb.jpg	www.wingvillage.org.uk/sites/default/files/jubileegreen.thumb.jpg	(from http://www.wingvillage.org.uk/)
12:18:15	27220/27220	---M--	200	added ('OK')	image/jpeg	etag:%22bc8294-6a54-45fecaa3eb700%22	http://www.wingvillage.org.uk/sites/default/files/cockinn.thumb.jpg	www.wingvillage.org.uk/sites/default/files/cockinn.thumb.jpg	(from http://www.wingvillage.org.uk/)
12:18:17	13213/13213	---MC-	200	added ('OK')	text/html	etag:%2254685db37bd33488f9017eb11ea91d89%22	http://www.wingvillage.org.uk/thevillage/amenitiesandfacilities/thecockinn	www.wingvillage.org.uk/thevillage/amenitiesandfacilities/thecockinn.html	(from http://www.wingvillage.org.uk/)
12:18:21	20025/20025	---M--	200	added ('OK')	image/jpeg	etag:%2210d0105-4e39-457581f6fc5c0%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cmap1.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cmap1.jpg	(from http://www.wingvillage.org.uk/)
12:18:21	89542/89542	---M--	200	added ('OK')	image/jpeg	etag:%22bc8296-15dc6-45fecac087a80%22	http://www.wingvillage.org.uk/sites/default/files/jubileegreen.jpg	www.wingvillage.org.uk/sites/default/files/jubileegreen.jpg	(from http://www.wingvillage.org.uk/)
12:18:21	96866/96866	---M--	200	added ('OK')	image/jpeg	etag:%22bc82bc-17a62-45fd91aeb1ac0%22	http://www.wingvillage.org.uk/sites/default/files/allsaintschurch.jpg	www.wingvillage.org.uk/sites/default/files/allsaintschurch.jpg	(from http://www.wingvillage.org.uk/)
12:18:22	100184/100184	---M--	200	added ('OK')	image/jpeg	etag:%22bc8297-18758-45fecabe9f600%22	http://www.wingvillage.org.uk/sites/default/files/cockinn.jpg	www.wingvillage.org.uk/sites/default/files/cockinn.jpg	(from http://www.wingvillage.org.uk/)
12:18:24	3740/3740	---M--	200	added ('OK')	image/jpeg	etag:%2210d00e0-e9c-457581f9d8c80%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cview2.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cview2.jpg	(from http://www.wingvillage.org.uk/)
12:18:24	3345/3345	---M--	200	added ('OK')	image/jpeg	etag:%2210d0104-d11-457581f8e4a40%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cview1.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cview1.jpg	(from http://www.wingvillage.org.uk/)
12:18:24	24919/24919	---M--	200	added ('OK')	image/jpeg	etag:%2210d051a-6157-457581f6fc5c0%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cmap2.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cmap2.jpg	(from http://www.wingvillage.org.uk/)
12:18:24	3135/3135	---M--	200	added ('OK')	image/jpeg	etag:%2210d00f5-c3f-457581f9d8c80%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cview3.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cview3.jpg	(from http://www.wingvillage.org.uk/)
12:18:25	5161/5161	---M--	200	added ('OK')	image/jpeg	etag:%2210d0518-1429-457581faccec0%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cview4.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cview4.jpg	(from http://www.wingvillage.org.uk/)
12:18:25	7219/7219	---M--	200	added ('OK')	image/jpeg	etag:%2210d0101-1c33-457581fbc1100%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cview5.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cview5.jpg	(from http://www.wingvillage.org.uk/)
12:18:26	3296/3296	---M--	200	added ('OK')	image/jpeg	etag:%2210d00ef-ce0-457581fcb5340%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cview6.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cview6.jpg	(from http://www.wingvillage.org.uk/)
12:18:26	1888/1888	---M--	200	added ('OK')	image/jpeg	etag:%2210d00e7-760-457581fcb5340%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cview7.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cview7.jpg	(from http://www.wingvillage.org.uk/)
12:18:26	3789/3789	---M--	200	added ('OK')	image/jpeg	etag:%2210d00e8-ecd-457581fda9580%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cview8.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cview8.jpg	(from http://www.wingvillage.org.uk/)
12:18:26	19590/19590	---M--	200	added ('OK')	image/jpeg	etag:%2210d00de-4c86-457581f7f0800%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cmap6.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cmap6.jpg	(from http://www.wingvillage.org.uk/)
12:18:28	3984/3984	---M--	200	added ('OK')	image/jpeg	etag:%2210d0102-f90-4575820362300%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cviewa1.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cviewa1.jpg	(from http://www.wingvillage.org.uk/)
12:18:28	14123/14123	---M--	200	added ('OK')	image/jpeg	etag:%2210d0103-372b-457581fe9d7c0%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cview9.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cview9.jpg	(from http://www.wingvillage.org.uk/)
12:18:28	20625/20625	---M--	200	added ('OK')	image/jpeg	etag:%2210d00eb-5091-457581f7f0800%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cmap8.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cmap8.jpg	(from http://www.wingvillage.org.uk/)
12:18:29	3793/3793	---M--	200	added ('OK')	image/jpeg	etag:%2210d00e5-ed1-4575820456540%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cviewa2.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cviewa2.jpg	(from http://www.wingvillage.org.uk/)
12:18:29	18307/18307	---M--	200	added ('OK')	image/jpeg	etag:%2210d047e-4783-457581f8e4a40%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cmapa1.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cmapa1.jpg	(from http://www.wingvillage.org.uk/)
12:18:29	2055/2055	---M--	200	added ('OK')	image/jpeg	etag:%2210d00f9-807-457582063e9c0%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cviewa3.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cviewa3.jpg	(from http://www.wingvillage.org.uk/)
12:18:30	19764/19764	---M--	200	added ('OK')	image/jpeg	etag:%2210d010a-4d34-457581f8e4a40%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cmapa3.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cmapa3.jpg	(from http://www.wingvillage.org.uk/)
12:18:31	4814/4814	---M--	200	added ('OK')	image/jpeg	etag:%2210d0100-12ce-4575820826e40%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cviewa5.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cviewa5.jpg	(from http://www.wingvillage.org.uk/)
12:18:31	4482/4482	---M--	200	added ('OK')	image/jpeg	etag:%2210d0519-1182-4575820732c00%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cviewa4.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cviewa4.jpg	(from http://www.wingvillage.org.uk/)
12:18:31	4419/4419	---M--	200	added ('OK')	image/jpeg	etag:%2210d00ff-1143-4575820826e40%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cviewa6.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cviewa6.jpg	(from http://www.wingvillage.org.uk/)
12:18:31	4132/4132	---M--	200	added ('OK')	image/jpeg	etag:%2210d00e6-1024-457582091b080%22	http://www.wingvillage.org.uk/sites/default/files/conservation/cviewa7.jpg	www.wingvillage.org.uk/sites/default/files/conservation/cviewa7.jpg	(from http://www.wingvillage.org.uk/)
12:18:32	15491/15491	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:31%20GMT	http://www.wingvillage.org.uk/thevillage/villagemap?location=surgery	www.wingvillage.org.uk/thevillage/villagemap569e.html	(from http://www.wingvillage.org.uk/)
12:18:32	15491/15491	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:32%20GMT	http://www.wingvillage.org.uk/thevillage/villagemap?location=ashcroft	www.wingvillage.org.uk/thevillage/villagemapbb8b.html	(from http://www.wingvillage.org.uk/)
12:18:33	19487/19487	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:32%20GMT	http://www.wingvillage.org.uk/thevillage/history/account1925page1	www.wingvillage.org.uk/thevillage/history/account1925page1.html	(from http://www.wingvillage.org.uk/)
12:18:35	31578/31578	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:33%20GMT	http://www.wingvillage.org.uk/thevillage/history/villagehall	www.wingvillage.org.uk/thevillage/history/villagehall.html	(from http://www.wingvillage.org.uk/)
12:18:35	17808/17808	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:33%20GMT	http://www.wingvillage.org.uk/thevillage/history/vicaragelanebakery	www.wingvillage.org.uk/thevillage/history/vicaragelanebakery.html	(from http://www.wingvillage.org.uk/)
12:18:36	16551/16551	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:35%20GMT	http://www.wingvillage.org.uk/thevillage/history/oldplacenames	www.wingvillage.org.uk/thevillage/history/oldplacenames.html	(from http://www.wingvillage.org.uk/)
12:18:37	35020/35020	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:35%20GMT	http://www.wingvillage.org.uk/thevillage/history/allsaintsprereformation	www.wingvillage.org.uk/thevillage/history/allsaintsprereformation.html	(from http://www.wingvillage.org.uk/)
12:18:38	41486/41486	---MC-	200	added ('OK')	text/html	etag:%22513c9a9f167962cc54eb78080d8de058%22	http://www.wingvillage.org.uk/thevillage/history/allsaintssixteenthcentury	www.wingvillage.org.uk/thevillage/history/allsaintssixteenthcentury.html	(from http://www.wingvillage.org.uk/)
12:18:38	20175/20175	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:37%20GMT	http://www.wingvillage.org.uk/thevillage/history/priestsandvicars	www.wingvillage.org.uk/thevillage/history/priestsandvicars.html	(from http://www.wingvillage.org.uk/)
12:18:40	35832/35832	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:38%20GMT	http://www.wingvillage.org.uk/thevillage/history/account1925page3	www.wingvillage.org.uk/thevillage/history/account1925page3.html	(from http://www.wingvillage.org.uk/)
12:18:40	15454/15454	---MC-	200	added ('OK')	text/html	etag:%228b087b176a0bad794bddc7b82af54b65%22	http://www.wingvillage.org.uk/thevillage/history/account1925page4	www.wingvillage.org.uk/thevillage/history/account1925page4.html	(from http://www.wingvillage.org.uk/)
12:18:41	17471/17471	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:18:40%20GMT	http://www.wingvillage.org.uk/thevillage/history/account1925page5	www.wingvillage.org.uk/thevillage/history/account1925page5.html	(from http://www.wingvillage.org.uk/)
12:18:42	25396/25396	---MC-	200	added ('OK')	text/html	etag:%22e2faa31ec79e100800c681aef2785e71%22	http://www.wingvillage.org.uk/thevillage/history/account1925page2	www.wingvillage.org.uk/thevillage/history/account1925page2.html	(from http://www.wingvillage.org.uk/)
12:18:43	13695/13695	---MC-	200	added ('OK')	text/html	etag:%220e882a0bc800cdb8b76bd8feb5c59f60%22	http://www.wingvillage.org.uk/thevillage/localwalks/walk1	www.wingvillage.org.uk/thevillage/localwalks/walk1.html	(from http://www.wingvillage.org.uk/)
12:18:46	25768/25768	---M--	200	added ('OK')	image/jpeg	etag:%22bc8288-64a8-45e1cff3b1540%22	http://www.wingvillage.org.uk/sites/default/files/wingvillagelibrary.jpg	www.wingvillage.org.uk/sites/default/files/wingvillagelibrary.jpg	(from http://www.wingvillage.org.uk/)
12:19:40	350466/350466	---M--	200	added ('OK')	application/pdf	etag:%22bc8291-55902-46b866741d540%22	http://www.wingvillage.org.uk/sites/default/files/localwalks/walk4_aston-abbotts.pdf	www.wingvillage.org.uk/sites/default/files/localwalks/walk4_aston-abbotts.pdf	(from http://www.wingvillage.org.uk/)
12:19:46	390462/390462	---M--	200	added ('OK')	application/pdf	etag:%22bc828d-5f53e-46907d91badc0%22	http://www.wingvillage.org.uk/sites/default/files/localwalks/walk3_wing_mentmore.pdf	www.wingvillage.org.uk/sites/default/files/localwalks/walk3_wing_mentmore.pdf	(from http://www.wingvillage.org.uk/)
12:19:48	12873/12873	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:19:47%20GMT	http://www.wingvillage.org.uk/organisations/neighbourhoodwatch	www.wingvillage.org.uk/organisations/neighbourhoodwatch.html	(from http://www.wingvillage.org.uk/)
12:19:49	11796/11796	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:19:48%20GMT	http://www.wingvillage.org.uk/organisations/labybirds	www.wingvillage.org.uk/organisations/labybirds.html	(from http://www.wingvillage.org.uk/)
12:19:50	11553/11553	---MC-	200	added ('OK')	text/html	etag:%22504fcf40f09627bc473fff8138d31791%22	http://www.wingvillage.org.uk/organisations/sportandsocialclub	www.wingvillage.org.uk/organisations/sportandsocialclub.html	(from http://www.wingvillage.org.uk/)
12:19:51	10469/10469	---MC-	200	added ('OK')	text/html	etag:%2201db4ed766d96540d430269143a51d6d%22	http://www.wingvillage.org.uk/organisations/winghallsnookerclub	www.wingvillage.org.uk/organisations/winghallsnookerclub.html	(from http://www.wingvillage.org.uk/)
12:19:52	10504/10504	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:19:51%20GMT	http://www.wingvillage.org.uk/organisations/wingyouthcentre	www.wingvillage.org.uk/organisations/wingyouthcentre.html	(from http://www.wingvillage.org.uk/)
12:20:01	11174/11174	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:19:53%20GMT	http://www.wingvillage.org.uk/organisations/ageconcern	www.wingvillage.org.uk/organisations/ageconcern.html	(from http://www.wingvillage.org.uk/)
12:20:03	10724/10724	---MC-	200	added ('OK')	text/html	etag:%228b92aa64b80de1790cea0538f246a8b0%22	http://www.wingvillage.org.uk/organisations/barnados	www.wingvillage.org.uk/organisations/barnados.html	(from http://www.wingvillage.org.uk/)
12:20:04	10168/10168	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Feb%202014%2012:20:03%20GMT	http://www.wingvillage.org.uk/organisations/wingbowlsclub	www.wingvillage.org.uk/organisations/wingbowlsclub.html	(from http://www.wingvillage.org.uk/)
